
"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 12 October 2022]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","Driving a car or van"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"E02001245 : Tameside 017",0,0,0,0,0,0,3,0,0,1,2,0,0,1,0,4,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,3,1,0,0,0,1,1,0,1,2,0,0,0,0,1,1,1,1,0,1,1,1,0,0,3,0,2,1,15,8,9,32,5,33,15,12,2,17,1,0,0,8,2,0,1,2,6,2,5,3,0,0,1,0,9,3,2,0,2,2,3,5,0,0,5,3,10,7,23,38,19,6,9,3,2,9,0,0,0,0,0,1,1,2,3,0,3,5,5,14,5,10,4,2,2,1,1,5,16,0,3,5,4,0,12,6,3,0,2,4,1,0,1,2,0,0,1,0,2,0,1,1,0,7,0,2,1,1,1,1,0,0,4,0,0,0,0,0,1,2,0,4,0,0,0,2,0,2,1,1,1,1,0,3,9,10,0,0,1,2,3,25,0,0,1,6,3,0,0,11,15,1,40,2,11,0,4,30,0,10,0,4,7,2,0,6,3,1,0,5,6,0,0,4,7,1,2,1,1,4,1,0,6,2,0,2,18,12,7,4,16,14,89,27,16,15,9,0,265,11,57,47,155,36,51,55,20,25,8,4,48,3,20,63,8,10,18,25,15,2,0,12,2,3,1,0,0,1,0,1,4,0,0,0,4,4,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,1
"E02001246 : Tameside 018",0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,5,0,0,4,9,4,1,27,5,19,4,10,4,7,6,1,0,4,0,0,3,0,1,2,1,0,0,0,0,2,1,1,1,2,1,0,1,3,2,1,3,1,8,5,20,18,7,0,6,3,0,8,1,2,0,0,0,2,0,0,5,0,1,2,0,10,6,7,2,1,5,2,1,3,15,3,1,8,5,0,6,3,1,0,2,0,0,0,1,0,0,4,0,0,0,1,0,1,0,2,1,4,2,4,3,1,1,2,3,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,3,0,3,0,0,1,7,4,0,1,1,0,0,12,0,0,0,5,4,4,2,5,9,0,34,5,9,2,3,25,0,12,0,1,6,1,1,8,1,0,1,1,6,0,1,3,5,0,1,0,0,0,0,1,6,2,1,3,15,13,4,6,11,5,89,30,23,19,3,0,221,7,72,35,118,52,33,63,15,31,1,3,42,4,7,56,10,6,8,18,8,4,0,10,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"E02001247 : Tameside 019",0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,5,0,1,0,0,1,3,1,0,0,2,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1,4,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,6,1,3,4,13,5,7,36,32,30,11,21,4,27,6,2,2,5,2,0,1,2,3,3,2,2,0,0,0,5,1,0,0,3,2,0,3,4,4,1,3,0,8,7,25,44,25,7,12,7,2,28,0,1,1,0,0,0,0,2,7,0,1,2,0,11,7,8,4,0,0,1,0,1,11,0,1,9,2,0,7,7,0,2,2,0,1,0,0,0,0,1,2,1,5,0,0,2,1,2,0,1,1,5,1,6,0,2,5,0,0,0,1,0,1,1,0,3,0,0,0,4,0,0,1,0,2,0,0,2,7,9,0,1,0,0,0,19,2,3,2,7,6,1,2,5,10,0,44,3,11,1,4,32,3,16,0,4,20,2,1,10,4,1,0,1,6,1,1,2,3,0,3,0,1,4,1,1,5,2,0,3,8,5,0,0,1,6,41,10,12,20,6,4,172,25,20,8,57,14,63,22,40,6,3,10,77,4,7,40,6,13,16,24,5,4,0,13,0,6,2,0,3,1,0,1,2,1,4,0,3,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"E02001248 : Tameside 020",0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,0,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,4,0,0,3,0,1,1,0,0,1,1,0,2,0,1,0,0,1,0,0,1,0,0,0,5,0,1,2,10,4,5,29,13,23,11,12,5,17,2,0,3,2,3,1,1,0,3,1,1,1,0,2,1,3,4,2,0,0,3,1,3,6,0,1,11,2,15,6,34,33,20,6,8,2,1,15,1,1,0,0,1,0,0,3,4,0,7,1,1,10,10,12,7,1,7,0,0,6,12,0,0,6,2,0,10,3,2,2,2,0,0,0,1,0,0,0,2,1,0,0,1,0,0,3,0,5,3,1,1,5,0,3,5,0,1,0,1,0,0,0,4,4,1,1,0,2,0,0,0,0,8,0,1,1,4,10,0,1,2,1,0,17,0,3,2,6,9,2,3,13,31,3,65,7,16,12,5,83,1,14,3,6,13,7,1,11,5,1,3,12,14,3,3,2,8,0,3,1,2,3,1,2,4,1,0,2,14,8,7,6,5,8,59,16,14,9,9,0,178,5,50,16,92,36,40,126,28,100,8,4,68,4,23,157,6,22,19,28,14,3,1,21,0,0,2,1,2,0,0,2,1,0,1,0,0,1,0,0,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,5,1,0,1,0,2,0,0,0,0,1,2
"E02001249 : Tameside 021",0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,6,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,3,4,0,1,6,5,3,21,13,29,6,12,6,23,1,1,5,4,1,1,2,1,3,3,1,2,2,2,0,4,5,0,1,1,2,1,4,5,0,1,4,2,7,7,20,39,11,5,6,4,0,15,1,2,0,0,1,0,0,0,4,0,4,2,1,24,7,3,2,1,2,1,1,2,9,0,3,4,0,0,4,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,2,1,1,0,2,3,0,0,0,2,0,1,0,0,3,2,0,0,3,0,0,1,1,1,0,0,2,7,14,0,1,0,0,0,14,0,7,5,6,11,3,0,11,21,2,54,1,9,5,3,54,1,14,0,4,10,5,1,11,6,2,1,10,8,5,2,3,6,0,4,2,1,3,0,4,1,3,1,1,5,1,2,1,3,7,35,9,11,10,12,2,111,14,12,7,46,15,29,34,61,13,3,13,90,14,3,43,10,8,6,23,12,3,0,11,0,1,1,0,2,1,0,1,5,0,2,0,3,0,1,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
"E02001250 : Tameside 022",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,1,2,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,3,1,1,5,5,3,3,16,11,21,10,10,3,20,0,0,1,3,2,1,3,3,0,0,2,3,0,0,1,4,6,2,1,3,3,0,1,5,1,1,4,1,5,11,27,25,24,2,5,6,0,13,0,1,0,0,0,2,1,1,2,0,1,2,5,9,4,10,5,1,1,6,1,0,10,1,5,5,4,1,2,2,2,2,2,0,0,0,0,1,1,0,0,0,3,0,2,0,0,1,2,2,0,1,2,3,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,6,0,2,0,0,1,11,12,0,1,4,0,2,20,0,1,2,7,5,0,7,8,20,0,52,7,6,9,7,60,0,12,2,4,17,12,1,11,5,5,1,9,19,1,0,2,11,1,5,7,1,6,1,4,3,4,2,4,8,7,7,3,3,7,66,14,8,7,2,2,162,4,50,18,50,31,34,81,19,67,12,5,58,4,41,131,6,26,13,18,5,3,1,10,1,5,3,1,0,2,2,0,6,0,2,0,4,0,0,0,1,2,1,2,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"E02001251 : Tameside 023",0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,2,3,5,7,2,5,11,7,23,5,10,2,15,0,2,0,3,1,1,3,0,0,3,0,1,1,0,0,1,7,1,1,0,3,0,12,2,0,3,2,1,10,1,21,24,18,4,11,5,1,15,0,0,0,0,0,1,0,0,3,1,1,2,1,7,5,3,3,1,0,3,1,4,13,0,0,5,6,0,4,2,0,0,1,0,0,1,0,0,0,0,1,1,5,0,0,1,1,0,0,0,0,3,0,3,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,4,0,0,1,0,3,1,0,0,5,10,0,0,1,0,0,20,0,3,0,2,5,0,5,2,16,2,22,3,5,4,6,34,0,6,0,4,2,5,1,13,4,0,1,5,5,0,5,2,4,0,1,4,0,8,1,2,2,0,0,0,21,5,4,4,6,2,57,19,23,9,7,1,106,3,54,7,49,16,24,41,9,37,56,2,25,2,34,51,1,16,8,13,5,0,3,7,2,3,2,0,1,3,3,5,1,0,1,0,3,1,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,2,0,0,0,1,0,0
"E02001252 : Tameside 024",0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0,1,0,4,3,2,0,3,0,4,0,1,0,0,0,0,2,1,1,1,3,0,0,3,1,0,0,1,4,2,5,9,11,1,12,46,37,45,29,53,13,44,16,2,3,11,5,0,2,4,7,2,4,5,2,3,1,9,11,0,4,2,5,1,18,12,3,2,4,3,19,12,32,53,30,9,23,3,1,31,0,2,0,0,0,0,0,1,0,0,3,3,1,8,2,3,8,0,0,0,0,3,2,1,1,5,3,0,6,7,0,1,2,1,0,0,1,1,0,0,0,0,5,0,0,2,1,4,0,1,3,6,1,0,0,0,4,0,0,0,1,0,1,1,3,3,5,0,1,3,0,0,3,1,6,1,0,1,11,16,0,2,3,1,0,26,0,5,15,23,20,3,3,21,34,5,40,6,17,8,8,94,0,22,1,8,25,2,2,20,4,1,2,5,15,1,2,7,8,0,7,7,1,3,3,0,4,0,0,4,0,6,0,2,4,4,34,11,2,7,7,3,94,6,10,2,26,11,35,20,28,7,7,55,87,4,10,21,6,7,12,31,14,6,4,10,1,2,2,0,3,9,2,5,1,2,3,0,5,2,1,0,1,4,3,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,4,0,0,0,0,0,0
"E02001253 : Tameside 025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,1,0,2,0,3,0,0,2,0,1,0,1,0,1,1,0,0,1,0,2,0,0,1,1,0,2,2,13,3,7,22,18,27,16,10,6,14,7,2,1,3,1,2,4,0,3,2,1,2,0,0,0,1,6,0,4,2,3,0,6,2,4,0,1,1,9,4,23,20,14,1,7,1,0,16,1,0,0,0,1,0,0,0,1,0,3,2,1,6,2,2,1,0,2,0,0,2,8,0,1,6,0,1,1,7,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,1,0,2,2,1,0,2,1,1,0,0,4,0,0,0,1,1,1,2,0,4,2,0,0,3,0,0,0,0,5,0,0,1,6,12,0,1,1,0,0,23,0,0,2,7,10,0,3,9,20,0,31,4,15,4,8,49,2,8,0,4,3,4,1,9,4,2,0,5,9,2,3,0,4,0,1,2,0,6,0,3,4,1,0,2,4,2,2,2,3,2,24,4,2,12,2,1,108,8,12,4,39,6,24,36,30,9,4,9,93,1,10,32,11,6,20,24,12,2,4,7,0,2,0,0,0,4,0,0,4,0,0,0,2,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0
"E02001254 : Tameside 026",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,0,7,5,3,4,22,13,20,5,21,5,11,2,1,2,2,1,0,5,4,5,0,2,1,1,0,0,4,6,3,1,2,1,0,4,9,0,0,7,5,16,10,19,19,18,0,5,2,0,7,0,0,0,0,2,0,0,1,0,0,1,2,1,5,5,10,2,0,0,0,1,3,10,0,3,8,3,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,0,1,0,1,4,0,0,0,2,0,2,0,0,2,0,0,1,1,0,0,1,0,5,1,0,0,4,6,0,0,1,1,1,16,0,4,3,4,10,1,2,12,12,2,63,2,13,3,3,41,2,7,0,2,23,4,2,19,4,1,0,2,6,3,2,0,10,0,3,0,0,6,0,0,5,0,1,1,3,2,1,1,5,8,40,3,5,8,6,0,104,14,18,6,48,10,28,28,54,7,2,11,90,12,6,59,18,6,8,8,6,0,0,15,0,0,1,0,2,4,0,0,2,1,1,0,2,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0
"E02001255 : Tameside 027",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,2,3,5,1,4,8,11,9,3,9,2,2,0,0,0,1,2,0,0,0,1,1,1,0,0,1,0,3,4,1,0,0,0,0,0,5,0,1,2,2,1,1,19,6,9,4,1,1,0,3,0,3,0,0,0,2,0,1,3,0,0,0,0,2,4,1,0,0,0,1,0,2,1,0,1,3,1,0,1,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,4,5,0,0,0,2,0,9,0,1,0,9,5,1,2,4,7,1,27,2,10,2,1,21,0,13,0,1,7,2,2,10,1,2,0,3,3,0,4,1,2,0,2,0,1,1,0,0,0,1,0,2,2,1,1,1,0,5,23,9,9,3,3,0,62,4,23,8,38,10,15,26,8,52,13,5,23,4,52,64,3,22,4,6,6,2,0,2,0,0,2,0,0,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"E02001256 : Tameside 028",0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,1,2,0,0,4,0,3,0,1,0,0,0,1,2,1,0,2,1,0,0,0,0,0,0,0,4,0,2,5,5,6,14,21,15,15,6,8,3,16,3,1,5,3,4,0,1,1,0,2,0,2,0,0,0,7,3,1,2,0,1,0,5,6,0,2,4,3,14,5,30,19,20,4,8,0,1,15,0,0,0,0,1,0,3,0,3,0,3,0,0,7,2,3,2,0,1,0,1,4,3,0,1,8,0,0,0,4,0,0,1,0,1,0,2,0,0,0,0,0,4,0,2,0,0,2,0,3,1,0,0,1,0,0,4,1,1,1,0,0,0,0,0,4,0,1,0,3,4,0,2,2,1,0,3,0,7,11,0,0,1,3,2,15,0,1,1,7,12,1,8,6,21,4,78,14,19,14,5,73,3,21,1,0,15,14,6,23,8,3,0,12,18,5,6,4,20,0,4,4,4,11,1,2,4,2,2,3,6,6,3,1,4,4,54,12,4,5,5,0,115,5,22,4,71,18,23,77,19,50,9,5,59,7,30,155,2,33,14,18,8,4,3,10,1,3,1,1,0,1,0,0,1,1,1,0,1,3,0,0,0,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"E02001257 : Tameside 029",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,0,0,1,0,3,1,1,1,6,0,1,2,5,4,11,25,16,33,12,13,7,18,8,4,5,9,3,1,2,0,5,5,2,2,2,1,1,8,3,0,1,1,1,0,9,3,4,0,5,2,14,3,28,36,30,6,13,3,0,12,0,0,2,0,1,0,0,1,3,1,0,1,2,11,5,4,0,0,5,1,0,6,8,2,1,8,3,1,3,4,1,0,2,1,0,0,0,0,0,0,0,0,6,0,0,1,0,2,0,1,4,1,2,3,0,0,3,0,0,1,1,0,0,0,0,2,1,0,0,2,1,0,1,0,1,0,0,1,12,14,1,2,1,2,0,13,2,5,2,5,21,4,6,8,25,5,82,10,11,3,6,75,2,18,0,3,23,9,3,16,3,0,3,6,18,5,6,2,15,0,4,2,0,9,1,0,5,0,1,1,7,0,1,1,7,16,38,6,5,12,7,1,130,9,24,4,47,16,43,49,63,18,8,10,120,5,12,78,63,7,2,17,22,2,0,12,2,1,1,0,0,5,0,0,4,1,2,0,3,1,0,0,1,3,5,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"E02001258 : Tameside 030",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,3,4,0,0,5,0,1,0,0,1,0,1,0,1,0,4,0,2,0,1,0,2,1,0,0,6,0,0,2,5,1,4,19,9,21,21,16,1,13,4,1,1,5,3,1,4,3,2,3,2,0,0,1,0,11,9,2,0,2,2,3,7,3,2,1,2,3,11,4,22,27,11,2,6,0,0,23,0,0,0,0,0,1,0,1,2,1,4,1,2,12,9,6,2,0,2,0,0,7,7,3,2,4,4,0,11,8,0,0,6,1,2,0,0,0,0,0,1,1,5,0,0,0,0,2,0,2,3,4,2,2,0,2,1,0,1,1,0,0,0,0,1,1,0,0,0,3,0,0,2,1,1,1,0,2,7,11,0,3,2,0,0,24,0,3,1,9,15,1,8,3,24,3,67,17,11,12,4,97,0,19,4,6,17,21,7,18,3,2,1,6,17,2,4,3,9,1,3,1,2,9,1,0,4,4,0,4,9,8,2,1,5,3,44,14,9,6,7,0,158,3,39,4,51,16,32,71,18,35,5,10,43,3,29,163,5,80,19,19,9,7,2,19,0,1,2,0,0,1,0,1,5,0,1,1,7,1,0,0,0,3,4,1,4,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1
"E02001259 : Trafford 001",0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,1,3,0,1,0,1,1,0,3,0,1,0,0,1,0,1,0,0,0,0,0,1,2,1,0,6,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,5,1,3,1,5,2,9,8,1,48,32,19,2,38,5,13,17,8,4,13,29,9,0,5,14,0,1,3,4,7,9,10,2,4,2,2,6,3,3,5,9,4,26,9,15,60,25,14,23,22,9,15,0,0,1,0,0,0,0,1,0,0,0,1,1,3,1,0,0,0,0,0,0,2,3,0,0,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,3,2,0,0,0,0,2,0,4,1,3,0,0,1,0,1,2,1,1,5,2,2,1,1,8,1,2,7,19,29,0,3,0,1,0,43,4,4,0,3,4,0,0,5,1,1,2,2,2,1,2,8,0,3,0,0,5,0,0,2,2,2,1,3,4,1,0,1,0,1,2,3,0,0,1,0,2,1,0,1,0,1,1,0,2,0,5,0,0,3,1,0,8,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,68,86,57,25,12,39,2,12,10,6,41,13,1,2,22,4,7,3,5,3,0,1,1,10,14,1,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0
"E02001260 : Trafford 002",0,0,0,2,1,0,1,0,0,1,1,0,2,3,0,5,1,0,0,0,0,5,2,1,0,0,1,1,2,1,4,1,1,1,0,0,0,0,0,3,0,1,2,0,0,5,0,3,0,0,5,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,4,0,3,2,6,3,1,10,2,18,20,15,2,25,0,1,3,10,0,6,18,3,3,2,3,0,2,0,5,6,6,3,3,3,6,4,4,13,5,2,7,8,26,11,38,51,30,3,12,4,6,22,0,1,0,0,0,1,0,0,1,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,1,7,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,2,2,1,3,0,0,1,0,3,1,4,1,1,2,9,3,4,1,1,7,1,0,2,4,14,1,1,13,42,26,0,6,5,13,4,78,6,29,0,0,4,0,0,7,2,3,8,0,5,1,3,17,1,1,0,7,7,0,2,11,1,2,3,7,10,1,0,3,2,0,2,0,0,4,0,2,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,15,1,2,0,2,1,3,4,0,1,0,0,6,0,1,4,0,0,38,308,80,33,98,115,29,41,99,33,22,32,4,6,44,6,29,0,23,12,0,2,0,28,27,6,4,7,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,6,3,0,0,0,1,0,1,0,0,0,2
"E02001261 : Trafford 003",0,0,0,1,0,0,3,0,1,1,0,0,2,0,1,9,0,0,0,0,0,8,1,0,0,1,1,2,1,1,2,3,0,1,0,0,0,0,0,0,0,2,0,1,0,4,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,5,1,3,4,8,5,7,12,6,31,30,17,0,19,1,7,11,15,0,4,27,3,1,8,9,1,3,1,6,12,17,2,2,8,6,1,5,6,3,6,10,6,20,10,36,66,23,8,10,10,7,32,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,4,0,1,2,2,0,1,4,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,1,1,1,0,0,1,1,1,1,0,2,1,0,1,0,0,1,2,1,0,5,4,1,0,10,3,2,0,1,8,1,1,4,32,27,0,5,5,1,2,87,1,11,0,2,3,1,0,10,4,0,7,0,2,0,7,21,0,3,1,5,6,2,3,6,0,1,2,3,0,7,0,5,0,0,1,0,1,8,2,0,4,4,1,1,0,0,1,0,0,0,1,0,0,1,1,0,5,0,0,0,2,0,5,1,0,0,0,0,2,0,0,3,0,0,42,160,112,35,32,95,5,26,31,8,34,19,2,16,40,3,9,0,26,11,4,0,10,18,19,4,1,6,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1,2,0
